ILMN_1655864,ILMN_1657898,ILMN_1671005,ILMN_1677756,ILMN_1687526,ILMN_1701962,ILMN_1704335,ILMN_1713764,ILMN_1725707,ILMN_1758687,ILMN_1763364,ILMN_1765725,ILMN_1775304,ILMN_1780334,ILMN_1794233,ILMN_1804988,ILMN_1812970,ILMN_1875248,ILMN_2082762,ILMN_2159384,Results
8.6936,8.3314,10.3848,9.1888,8.8892,8.3141,7.965,8.4425,10.6965,8.464,9.9563,9.2104,10.4496,9.086,8.4706,10.6266,8.0439,8.0794,10.0003,8.8748,Idiopathic Pulmonary Arterial Hypertension
8.6031,8.1436,10.8924,9.2537,8.9604,8.5196,8.5908,8.4984,10.4663,8.7061,9.9184,9.4573,10.9982,9.0094,8.3113,11.242,8.1091,8.1262,10.811,9.094,Idiopathic Pulmonary Arterial Hypertension
8.723,8.1434,11.0841,9.1257,9.0915,8.7033,8.1258,8.3032,10.5627,8.8623,8.9431,9.7755,10.9846,8.895,8.5358,10.4439,7.922,8.1719,10.262,9.13,Idiopathic Pulmonary Arterial Hypertension
8.0567,8.0838,10.7429,9.2519,8.5628,8.069,8.1069,8.5179,9.8718,8.5991,9.6046,9.4777,10.2112,9.639,8.4367,9.9437,7.9051,8.0702,9.4673,8.8298,Idiopathic Pulmonary Arterial Hypertension
8.4505,8.5078,10.4922,9.1452,8.3956,8.4742,8.3351,8.4839,10.0912,8.4608,9.083,9.1477,10.1029,8.7477,8.2964,10.3066,7.9909,8.4575,10.1023,8.8765,Idiopathic Pulmonary Arterial Hypertension
8.53,8.315,10.332,8.6404,8.7377,8.7,8.0494,8.5142,10.3945,8.5738,8.9087,9.6029,10.4985,9.9258,8.4841,10.3154,7.9813,8.1439,10.4403,8.5657,Scleroderma with Pulmonary Arterial Hypertension 
8.7401,7.7081,10.1111,8.8082,8.5272,8.3172,7.9844,8.2522,10.179,8.2652,9.0555,9.1532,10.248,9.4018,8.2522,9.9669,7.9709,8.0587,10.0813,8.2657,Scleroderma with Pulmonary Arterial Hypertension
8.6847,8.1667,11.0466,8.9752,9.1323,8.7367,8.7447,8.5977,10.3634,8.9489,9.0736,9.8896,10.8512,8.9553,8.4301,10.9175,8.2988,8.315,11.3248,8.9608,Scleroderma with Pulmonary Arterial Hypertension
9.2701,8.6255,11.0233,9.7552,9.5382,8.6087,9.2648,8.1405,10.822,9.1824,9.9953,10.3727,11.6888,8.1563,8.9794,11.3625,9.316,9.0553,11.397,9.8557,Scleroderma with Pulmonary Arterial Hypertension
8.5636,8.0408,10.4447,8.9009,8.6634,8.3799,8.2923,8.1586,9.5105,8.7514,8.8119,9.5247,10.2281,8.1976,8.7202,9.8581,8.4403,8.3447,10.2245,8.765,Scleroderma with Pulmonary Arterial Hypertension
8.3498,8.2394,10.2428,8.7932,8.6282,8.516,8.2692,8.1499,9.3817,8.9959,8.6869,9.3203,9.9385,7.9092,8.5501,9.5533,8.2543,8.2157,10.2259,8.5681,Scleroderma with Pulmonary Arterial Hypertension
8.5712,7.9089,9.831,8.791,8.2176,8.3318,7.9984,8.191,9.4075,8.6079,8.5164,8.9466,9.51,8.0138,8.3927,9.3763,7.9538,8.2348,9.806,8.0943,Scleroderma with Pulmonary Arterial Hypertension
8.4751,8.2855,11.3749,9.1933,9.1259,8.7193,8.3935,8.3212,10.7055,8.7266,9.0363,9.8749,11.349,8.7131,8.5457,10.9477,8.3602,8.3268,10.6508,9.269,Scleroderma with Pulmonary Arterial Hypertension
8.9198,8.119,10.8874,9.5253,9.027,8.7458,8.1606,8.4898,10.4596,8.5327,9.7854,9.3954,11.0267,8.6601,8.7606,10.6177,8.1827,8.363,10.3663,9.0871,Scleroderma with Pulmonary Arterial Hypertension
8.4934,8.2407,10.2479,9.0947,8.8206,8.6599,8.1692,8.1354,9.8452,8.5272,8.8012,9.3006,10.2571,9.3248,8.3068,9.8835,8.0848,8.0083,9.9622,9.0345,Scleroderma with Pulmonary Arterial Hypertension
8.6493,8.2022,11.1074,9.0871,9.2212,8.5266,8.2814,8.377,10.2911,8.6468,9.68,9.7287,11.2898,8.5441,8.3074,10.7559,7.9816,8.1285,10.3506,9.45,Scleroderma with Pulmonary Arterial Hypertension
8.3687,8.3017,9.7449,8.8618,8.471,8.4189,8.0671,8.5194,10.1587,8.3275,8.7975,9.3753,9.682,9.6528,8.2592,10.1748,8.002,7.9152,10.0775,8.5735,Scleroderma with Pulmonary Arterial Hypertension
8.5624,7.8712,10.0845,9.0172,8.8275,8.4294,8.0403,8.0902,10.073,8.5038,9.2984,9.0789,9.6835,8.8051,8.853,9.9306,7.9948,7.8624,9.9282,8.5068,Scleroderma with Pulmonary Arterial Hypertension
8.8118,8.3697,10.679,8.9093,8.6028,8.9231,8.4875,8.548,10.7831,9.0341,9.1072,9.3975,10.8895,9.1351,8.326,10.8273,8.0557,8.1689,10.5681,8.8489,Scleroderma with Pulmonary Arterial Hypertension
